,BoroCT,2011 Household Median Income
356,3002901,9662
357,3003000,56042
358,3003100,64458
359,3003300,83688
360,3003400,69904
361,3003500,46339
362,3003600,58147
363,3003700,73750
364,3003800,93125
365,3003900,61563
366,3004100,91607
367,3004300,95781
368,3004400,87000
369,3004500,106361
370,3004600,53393
371,3004700,98971
372,3004900,82609
373,3005000,74271
374,3005100,88188
375,3005201,26523
376,3005202,59625
377,3005300,74219
378,3005400,60714
379,3005601,52246
380,3005602,59167
381,3005800,51993
382,3005900,57222
383,3006000,62723
384,3006200,53184
385,3006300,91218
386,3006400,51558
387,3006500,85857
388,3006600,52083
389,3006700,119423
390,3006800,40758
391,3006900,94196
392,3007000,60387
393,3007100,35963
394,3007200,39008
395,3007400,35195
396,3007500,98646
397,3007600,39299
398,3007700,99543
399,3007800,31649
400,3008000,41354
401,3008200,46974
402,3008400,31463
403,3008500,16748
404,3008600,-
405,3008800,38438
406,3009000,30093
407,3009200,36270
408,3009400,43036
409,3009600,40428
410,3009800,36089
411,3010000,28297
412,3010100,42253
413,3010200,38908
414,3010400,32574
415,3010600,32287
416,3010800,38024
417,3011000,36045
418,3011200,27355
419,3011400,39318
420,3011600,30996
421,3011700,67965
422,3011800,40726
423,3011900,69750
424,3012000,26118
425,3012100,76641
426,3012200,39393
427,3012600,31368
428,3012700,24338
429,3012801,50417
430,3012901,87875
431,3012902,88036
432,3013000,49653
433,3013100,103063
434,3013200,39291
435,3013300,108409
436,3013400,72591
437,3013500,104375
438,3013600,71904
439,3013700,79444
440,3013800,49007
441,3013900,63717
442,3014000,53008
443,3014100,80563
444,3014200,52424
445,3014300,56083
446,3014500,47880
447,3014700,65000
448,3014800,85664
449,3014900,94146
450,3015000,71944
451,3015100,109859
452,3015200,59399
453,3015300,104432
454,3015400,-
455,3015500,104375
456,3015700,119076
457,3015900,109329
458,3016000,55893
459,3016100,99333
460,3016200,84531
461,3016300,78438
462,3016400,74922
463,3016500,120727
464,3016600,73750
465,3016700,106967
466,3016800,83045
467,3016900,66603
468,3017000,65136
469,3017100,100341
470,3017200,78487
471,3017400,42386
472,3017500,-
473,3017600,39643
474,3017700,-
475,3017800,52679
476,3017900,60000
477,3018000,31835
478,3018100,76293
479,3018200,37357
480,3018300,96250
481,3018400,51205
482,3018501,21869
483,3018600,52169
484,3018700,110000
485,3018800,77316
486,3019000,42194
487,3019100,53077
488,3019200,32250
489,3019300,40469
490,3019400,36080
491,3019500,55616
492,3019600,40625
493,3019700,75607
494,3019800,41964
495,3019900,56094
496,3020000,54182
497,3020100,73489
498,3020200,80368
499,3020300,68981
500,3020400,74290
501,3020500,81696
502,3020600,63500
503,3020700,98114
504,3020800,51076
505,3021000,55250
506,3021100,54800
507,3021200,40116
508,3021300,46071
509,3021400,26719
510,3021500,59617
511,3021600,39896
512,3021700,40245
513,3021800,33217
514,3021900,35233
515,3022000,31674
516,3022100,42568
517,3022200,29508
518,3022400,39185
519,3022600,57778
520,3022700,39523
521,3022800,45132
522,3022900,52426
523,3023000,32633
524,3023100,59438
525,3023200,26931
526,3023300,37370
527,3023400,37052
528,3023500,62313
529,3023600,30052
530,3023800,28864
531,3024000,39271
532,3024100,33750
533,3024200,42350
534,3024300,34717
535,3024400,36450
536,3024500,46431
537,3024600,45720
538,3024700,36691
539,3024800,48375
540,3024900,50429
541,3025000,41827
542,3025100,36659
543,3025200,45734
544,3025300,45913
545,3025400,48080
546,3025500,19488
547,3025600,42109
548,3025700,33071
549,3025800,43486
550,3025901,26083
551,3025902,19393
552,3026000,42000
553,3026100,31021
554,3026200,57938
555,3026300,33843
556,3026400,49349
557,3026500,42892
558,3026600,52518
559,3026700,58226
560,3026800,45441
561,3026900,33555
562,3027000,40457
563,3027100,39837
564,3027200,41102
565,3027300,28875
566,3027400,40256
567,3027500,55000
568,3027600,35208
569,3027700,31250
570,3027800,39524
571,3027900,42908
572,3028000,65455
573,3028100,22841
574,3028200,34592
575,3028300,13732
576,3028400,38678
577,3028501,97765
578,3028502,20154
579,3028600,34837
580,3028700,23665
581,3028800,30051
582,3028900,22575
583,3029000,36755
584,3029100,35402
585,3029200,27215
586,3029300,23965
587,3029400,28523
588,3029500,53824
589,3029600,36818
590,3029700,57284
591,3029800,47779
592,3029900,34205
593,3030000,39306
594,3030100,42206
595,3030200,44348
596,3030300,24720
597,3030400,37391
598,3030500,52547
599,3030600,40912
600,3030700,22112
601,3030800,47019
602,3030900,41330
603,3031100,38295
604,3031300,33056
605,3031400,45538
606,3031500,39189
607,3031701,35243
608,3031702,41455
609,3031900,36607
610,3032100,29223
611,3032300,39601
612,3032500,30799
613,3032600,26857
614,3032700,42546
615,3032800,38372
616,3032900,37239
617,3033000,23026
618,3033100,29571
619,3033300,42188
620,3033500,54167
621,3033600,61474
622,3033700,41438
623,3033900,38996
624,3034000,22013
625,3034100,37905
626,3034200,18806
627,3034300,21250
628,3034500,42250
629,3034700,25593
630,3034800,41891
631,3034900,34625
632,3035000,34984
633,3035100,26821
634,3035200,9502
635,3035300,35072
636,3035400,42514
637,3035500,29904
638,3035601,42432
639,3035602,40172
640,3035700,13571
641,3035900,27888
642,3036001,27161
