censustract,changeinrent0016,gentrificationcomposite
1016900,79.03930129999999,-1.816475575
1017000,97.95158290000001,.719980158
1017100,70.2226345,-1.186480497
1017200,122.9957806,2.143623579
1017300,56.3055062,-1.444811376
1017401,77.01863349999999,-1.004270341
1017402,98.8811189,2.011537343
1017500,90.5591201,-.679405308
1017700,73.3652313,-.545226121
1017800,91.0958904,1.511537331
1017900,56.6153846,-1.139214529
1018000,109.5115681,2.746705262
1018100,57.0659489,-.720604439
1018200,42.9292929,.824578509
1018300,107.6923077,.301997986
1018400,123.2394366,3.540994889
1018500,153.7878788,.634918772
1018600,79.8107256,.868938549
1018700,84.41422589999999,.219749363
1018800,93.8814532,1.43616259
1018900,64.9048626,-.749605957
1019000,72.2707424,4.783722916
1019100,83.4983498,-.192593956
1019200,109.5,.541221983
1019300,106.8912711,.365138159
1019400,121.5547703,2.612445934
1019500,145.0285714,.8263372450000001
1019600,78.0185759,3.314045816
1019702,104.6666667,1.600601443
1019800,103.1152648,3.042475312
1019900,83.3869239,-.029107214
1020000,172.8,4.244918536
1020101,111.4253394,-.110219072
1020102,134.622824,3.169974673
1020300,55.2380952,-1.778048542
1020500,89.7782064,-.524028738
1020600,114.1025641,.6114471930000001
1020701,96.6267682,-.433385502
1020800,104.1044776,3.021114856
1020901,121.1538462,1.234845418
1021000,68.4210526,.928592284
1021100,80.48387099999999,.994320099
1021200,163.6842105,2.638969487
1021303,128.5185185,2.491010971
1021400,107.8571429,4.086754227
1021500,103.5250464,3.208775097
1021600,114.3897996,2.708977532
1021800,156.8329718,2.980669101
1021900,21.6589862,.007809806
1022000,137.7828054,1.935309912
1022102,105.4982818,1.625650002
1022200,146.9907407,3.125447224
1022301,75.1361162,2.139388784
1022302,124.7484909,3.874607777
1022400,124.7222222,2.72710394
1022500,96.34146340000001,1.415651251
1022600,102.1912351,3.47993004
1022700,139.0990991,3.256190532
1022800,112.0654397,2.417715574
1022900,105,2.58153531
1023000,83.0588235,1.28429936
1023100,124.8713551,2.284774062
1023200,84.2342342,2.392342023
1023300,109.9678457,2.244788067
1023400,114.5251397,3.189508977
1023501,79.6733212,1.540886186
1023502,124.952741,3.018998075
1023600,67.43295019999999,-.536591084
1023700,101.0221465,1.907171648
1023801,70.4974271,.832066086
1023802,141.4236707,.61684174
1023900,106.4695009,2.641786882
1024100,94.8419301,.931262297
1024200,32.0334262,1.385138682
1024301,89.4991922,2.830515139
1024302,82.4427481,.8173033629999999
1024500,78.130217,1.397870149
1024700,83.3075734,.8299680270000001
1024900,91.7004049,3.157270344
1025100,70.5061082,1.519257435
1025300,85.0722311,2.154644865
1025500,99.32523620000001,.069260666
1025700,200.7407407,4.793575075
1025900,108.8180113,5.10601822
1026100,87.76223779999999,1.274814999
1026300,79.97097239999999,-.229757131
1026500,88.47795160000001,1.574247179
1026700,83.84279479999999,1.749898666
1026900,91.82282790000001,.421218676
1027100,98.95522389999999,.841346127
1027300,97.2087379,.238974574
1027500,96.70588239999999,-.454490965
1027700,68.66141730000001,-.596219571
1027900,103.8402458,.451780227
1028100,116.7082294,1.022900333
1028300,79.7169811,1.024708402
1028500,85.0420168,1.311113956
1028700,97.8448276,.746286561
1029100,84.5140033,.509502918
1029300,93.85113269999999,.894584543
1029500,91.5848527,.301779558
1029900,43.7636761,-1.321554477
1030300,91.93548390000001,-.651176358
1030700,90.37227209999999,-.390299059
1030900,69.36026939999999,-.391920684
1031703,52.9746508,-1.019794524
1031704,51.4743921,-1.502221826
2000200,69.4520548,-.012303266
2000400,116.1741835,1.118075857
2001600,69.3548387,-1.90884313
2001900,145.9869848,3.69811807
2002000,129.3233083,.308494131
2002300,82.0960699,-1.706307003
2002500,103.5294118,1.78036507
2002701,69.3181818,-.637407894
2002702,190.060241,2.920196856
2002800,59.8976109,-.502015961
2003100,66.3961039,-1.58442128
2003300,125.9927798,1.777648007
2003500,111.0311751,-.186109469
2003800,28.1293952,-2.765208434
2003900,174.2930591,3.11198049
2004001,66.19496860000001,-.648876674
2004100,100,.545209229
2004200,65.31440160000001,-.9074151110000001
2004300,114.1689373,.070913088
2004400,100.8368201,.087527193
2004600,123.8227147,.121131044
2004800,85.5932203,.130302525
2005001,109.2382496,-.031624213
2005002,89.3030794,-.689359354
2005100,130.9734513,1.213520576
2005200,114.9837134,1.758583713
2005300,65.095986,-.88579174
2005400,89.3081761,-.150932189
2005600,66.5615142,-1.54739694
2005902,77.4011299,-.694302777
2006000,90.13605439999999,1.180707969
2006100,96.692607,1.448464454
2006200,71.46341459999999,-2.062643272
2006300,78.49462370000001,1.137379814
2006400,62.3481781,-1.307729018
2006500,92.1875,-1.269413062
2006700,96.6101695,-.243056251
2006800,59.8958333,-.099398684
2006900,195.9322034,3.116593991
2007000,81.92090400000001,-1.554604766
2007100,166.7546174,1.379487115
2007200,67.6945668,-.76154465
2007300,95.14170039999999,.48803887
2007400,93.768997,-.607059886
2007500,76.2222222,.629815243
2007600,79.2397661,-1.395392266
2007700,106.25,2.153227705
2007800,82.4267782,-1.306094196
2007900,82.59740260000001,-.8847704749999999
2008300,76.3888889,-.118008997
2008400,64.72564389999999,.887882047
2008500,150.1246883,.912567966
2008600,36,-.544829462
2008700,99.4174757,.607902484
2008900,116.5501166,.659739963
2009000,56.4285714,.113677787
2009200,81.7663818,-1.616073466
2009300,116.6666667,1.232877341
2009600,83.85542169999999,-.724875327
2009800,105.3333333,.164880203
2011502,101.2096774,2.110461771
2011700,82.63772950000001,2.15701641
2011800,121.4917826,.122158505
2011900,127.8450363,-.460940981
2012101,80.57041000000001,.160947904
2012102,28.90625,-.619354918
2012300,82.1428571,.9709196450000001
2012500,100.9225092,-1.171656385
2012701,111.2391931,.909851224
2012901,163.8655462,1.359066353
2013000,88.7714663,.341803749
2013100,90.4862579,.289856933
2013200,60.81081080000001,-.294177723
2013300,112.9337539,1.831085757
2013500,77.2727273,1.571131743
2013800,62.78772379999999,-.168303158
2014100,107.3359073,2.598876228
2014300,18.380744,2.053364996
2014400,55.7692308,-.948144673
2014500,144.4444444,.458601197
2014701,59.7069597,.719787233
2014702,83.1501832,1.909236898
2014900,100.2040816,1.597333931
2015100,76.62116039999999,.924278157
2015200,63.05361310000001,-.9654688299999999
2015300,143.2372506,1.246142493
2015500,107.6086957,-1.276452382
2015700,74.30555559999999,.1701719
2015800,85.467128,.044790421
2015900,24.8387097,-2.016195749
2016000,113.9064475,.145688507
2016100,2.247191,-2.495492895
2016200,40.7534247,-1.019259827
2016400,67.3126615,-.814892017
2016500,88.4751773,.290920392
2016600,96.54747230000001,.078301545
2016700,61.3354037,3.69394581
2016900,34.7039474,.5440066730000001
2017300,41.981982,-.718880105
2017500,97.8835979,1.057973136
2017701,111.1111111,.909917083
2017702,102.5089606,1.276998127
2017901,88.590604,.653814602
2017902,87.4161074,.131036864
2018101,72.1077655,-1.758400893
2018102,76.0697306,.559278558
2018301,64.51127819999999,-.6123242330000001
2018302,77.1428571,-1.499996887
2018400,77.60416669999999,-.108071021
2018500,81.0546875,-.178189662
2018900,81.5517241,-.6929681640000001
2019300,89.56916099999999,.034826356
2019400,71.5617716,-.900199046
2019500,67.17791410000001,.488570382
2019700,68.2852807,-.78490528
2019900,88.2747069,.995472557
2020000,91.1003236,-1.308228934
2020100,78.7828947,-.176276276
2020200,72.75541800000001,-1.025796989
2020400,74.8691099,-1.198732164
2020501,62.13017749999999,-1.120437338
2020502,90.8548708,.244661486
2020601,159.8958333,.30031932
2020900,90.4424779,1.741660423
2021001,66.66666669999999,-.839870734
2021002,68.67816089999999,-.001558494
2021100,69.32006630000001,-1.449772247
2021200,77.7286136,-.75971381
2021301,109.375,1.845834433
2021302,74.4680851,.595994952
2021501,115.7142857,1.594628966
2021502,80.38194440000001,.596852295
2021601,77.3722628,-1.420585745
2021602,73.7226277,-1.051756338
2021700,87.94326239999999,-.6788622
2021800,75.64296520000001,-.733677535
2021900,93.5108153,-.577447448
2022000,107.0945946,-.884218456
2022101,76.56765679999999,-1.095663628
2022102,90.59405940000001,-.471015258
2022200,69.7860963,-1.222245048
2022300,85.3046595,-.343003742
2022401,75.98908589999999,-.608999996
2022403,85.12960440000001,-.363049498
2022404,63.574352,-.381733576
2022500,68.3109118,-.50381533
2022701,92.0133111,2.163806283
2022702,45.5904335,1.129241355
2022703,83.74233129999999,1.193517574
2022800,85.16949150000001,-.7621204660000001
2022901,67.43827159999999,-.505486368
2022902,72.5239617,-.043133179
2023000,76.0719225,.124047598
2023100,70.56277060000001,.745833559
2023200,63.5501355,-.352375982
2023301,70.6730769,-1.711073439
2023302,93.7219731,-1.803518174
2023501,66.22418879999999,-1.808920945
2023502,79.0619765,.051319021
2023600,112.836767,.8940832399999999
2023702,83.54037269999999,1.425812188
2023703,78.40735069999999,.408318916
2023704,76.7228178,-.830076937
2023800,97.50692520000001,-1.300242124
2023900,89.33333329999999,.667445645
2024000,70.5479452,-.937225842
2024100,77.2652389,-.042366203
2024300,92.08494210000001,-1.48587049
2024400,84.4604317,-.231624359
2024501,70.1149425,-.734684747
2024502,82.2660099,.250189061
2024600,84.0755735,-.431031186
2024700,81.0240964,-.325893203
2024800,63.77952759999999,-.225137905
2025000,69.9475066,.055032935
2025100,67.18995290000001,-.561424272
2025200,77.0595691,-.688695923
2025300,82.54716979999999,-.289025164
2025400,73.4375,-.815700768
2025500,68.0952381,-.708834156
2025600,85.5337079,-1.466895597
2025700,81.2206573,1.186550074
2026100,46.4419476,-1.374281382
2026300,63.2352941,-1.001709804
2026400,84.869326,-.203671943
2026500,76.5793529,.167455122
2026601,106.7823344,-.377185052
2026602,84.4135802,-.737136029
2026701,70.8571429,-1.8818673
2026702,70.4285714,-1.269109419
2026900,64.60032630000001,-.681233292
2027300,92.6100629,-.385313674
2027401,65.2275379,-.636547245
2027402,70.2450408,-.913222642
2027700,79.35779819999999,-.5157190230000001
2027900,80.7142857,-1.167097747
2028100,79.96715930000001,-.461719532
2028300,68.2634731,-1.175170628
2028500,108.9855072,.42782868
2028600,79.9507995,-.547734057
2028700,90.6743185,-.099462468
2028800,90.5637255,-.43100503
2028900,87.0514821,-.051526086
2029301,43.9888164,-1.538178958
2029302,84.57899719999999,-.942779764
2029500,84.1517857,.499293821
2029600,127.729636,-1.6612044
2029700,71.5545755,.035497526
2030000,88.0108992,.268306762
2030100,-17.8041543,-2.167285072
2030200,68.5393258,-1.17289828
2030701,88.22916669999999,-1.029325167
2030900,95.7189901,-1.052139244
2031000,62.61216349999999,-.89379332
2031200,99.8648649,-.142016788
2031400,67.5853018,-.261105308
2031600,97.852349,.6337977460000001
2031800,93.9597315,-.5662678
2032300,66.1167513,-.69774846
2032400,34.6793349,-1.880650535
2032600,67.18009480000001,-1.773941105
2032800,37.3970346,-2.55003273
2033000,68.5393258,-1.067933405
2033201,87.537092,-.298781609
