Council District, Census Tracts 
22,4006502 4011300 4011700 4011900 4012100 4014300 4014500 4014700 4014900 4005900 4013700 4006900 4009500 4008300 4015100 4012301 4013500 4010100 4009700 4010500 4014100 4011100 4006501 4007100 4006100 4006300 4007500 4007300 4011500 4012500 4029900 4010300 4010701 2000100 4009100 4009900 4008700 4032900 4004500 4005300 4015500 4029700 4007700 4007900 4030904 4031700 
23,4049600 4054200 4055600 4055800 4140300 4054800 4049200 4048200 4139900 4055200 4048400 4047800 4157102 4129103 4136700 4162100 4137700 4056600 4056400 4157903 4161700 4055400 4130100 4056000 4056200 4047600 4129102 4129104 4156700 4157101 4157902 4157901 4144100 4133300 4134700 4152901 4128300 4155101 4152902 4138501 4143500 4138502 4155102 
24,4044800 4077906 4133900 4077902 4045000 4045600 4046400 4077908 4021400 4045200 4045400 4023600 4023800 4126500 4045800 4022002 4077903 4080900 4124100 4023000 4023200 4077907 4125700 4046600 4077904 4077905 4124700 4126700 4079300 4022001 4044602 4122300 4134100 4024000 4021200 4127700 4122701 4122702 4044601 4047200 4080302 
25,4028500 4028900 4047300 4047100 4047500 4028700 4048100 4026700 4026901 4026902 4027100 4027500 4027700 4027900 4028300 4032700 4035100 4045700 4045900 4046700 4046900 4029100 4047900 4046300 4068300 4030903 4048500 4033900 4046100 4028100 4033700 4026500 4030902 4049900 
26,4003100 4005100 4025900 4026100 4005500 4025700 4026300 4024900 4001900 4018300 4025302 4025301 4018101 4018102 4023500 4002500 4017900 4003300 4008500 4000700 4018700 4018900 4024500 4024700 4016100 4018501 4018502 4025100 4025500 4016900 4017100 4003900 4019900 4015300 4048300 4004700 4005700 4015700 4029300 4016300 4029500 4004300 4015900 4000100 4008100 4003700 
27,4028000 4039400 4040000 4040200 4043400 4050202 4050800 4051800 4052000 4052400 4052600 4053000 4053601 4059400 4059600 4059800 4060000 4060600 4060800 4061400 4062200 4035200 4041400 4044000 4025800 4040400 4042400 4061000 4061200 4043200 4052200 4051600 4053401 4036600 4039800 4052800 4053800 4058200 4036800 4042600 4050600 4037600 4038400 4051000 4053200 4059000 4028200 4033401 4026600 4050201 4050400 4044400 4058000 4059200 4051200 4054000 4028400 4046000 4024600 4046200 4050000 4056800 4020800 4026400 4046800 4047000 4048000 
28,4010200 4010400 4010600 4015400 4015600 4015802 4016800 4017200 4027400 4018800 4019200 4017400 4017600 4017000 4019400 4015000 4015801 4019800 4019600 4020200 4009800 4011000 4010000 4017800 4010800 4018200 4018600 4079000 4078800 4079200 4027000 4019000 4027200 4018402 4016400 4016600 4018000 4081400 4081800 4018401 4011400 4012400 4012601 4015200 4012000 4014800 4026000 4026200 4084602 4084000 4027800 4033402 4027600 4020600 4020400 4025400 4009600 4011600 4011800 4028800 4029400 
29,4013600 4014000 4069300 4069500 4069701 4069702 4071306 4072100 4072900 4073900 4074100 4074300 4013800 4071303 4012200 4014400 4074900 4070700 4070900 4014201 4071305 4073100 4075702 4077300 4071100 4072300 4073700 4076901 4076902 4071304 4077500 4071701 4074700 4075701 4067900 4071900 4074500 4050500 4070300 4064500 4068700 4014202 4013200 4071702 4013400 4021600 
30,4049500 4052500 4058500 4058700 4058900 4059300 4059900 4062700 4065702 4065703 4065900 4066100 4067700 4061302 4062300 4062500 4063301 4063302 4051100 4063500 4053100 4060300 4066900 4052100 4051700 4060701 4058100 4057700 4057900 4061301 4056700 4062900 4063900 4061900 4056500 4062100 4049302 4064101 4058300 4066501 4066701 4051300 4060100 4049301 4049700 4051500 4053500 4048900 4059100 4067100 4000600 4063700 4065501 4066300 4024300 4000200 4059500 4020500 4021900 4064102 4000400 4056100 4050700 4022900 
31,4066000 4063000 4064600 4099801 4065000 4061800 4063200 4065400 4069000 4069400 4068000 4068200 4032000 4062000 4063800 4097204 4099802 4101001 4103201 4103202 4100802 4065600 4101002 4097203 4099200 4096400 4062400 4062600 4035800 4066400 4030600 4061601 4061602 4100801 4071600 4107202 4097202 4095400 4094202 4032800 4033000 
